id,title,city,location,beds_number,bathrooms,price,living_area,land_area,parking_places,distance_from_sea,new_construction,air_conditioning,link,mobile_phone,last_update,published_by
3009819 (ALG-1355),Prodajem Kuću,Vižinada,"Vižinada, Hrvatska",3,0,3669000.0,150.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009819,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3188938 (ALG-2421),Prodajem Hotel,Ližnjan,"Pula, Hrvatska",0,0,3200000.0,900.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3188938,+385953631892,"22 Jan, 2024",AlphaLuxeGroup
3001921 (ALG-1356),Prodajem Hotel,Pula,"Pula, Hrvatska",0,0,3200000.0,300.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3001921,+385953631892,"18 Apr, 2023",AlphaLuxeGroup
3178093 (ALG-2036),Prodajem Stan-Apartman,Medulin,"Medulin, Hrvatska",11,0,3120000.0,1000.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3178093,+385953631892,"5 Jan, 2024",AlphaLuxeGroup
3191804 (ALG-2264),Prodajem Kuću,Rovinj,"Rovinj, Hrvatska",14,0,3000000.0,1007.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3191804,+385953631892,"25 Jan, 2024",AlphaLuxeGroup
3251414 (70-1),Prodajem Kuću,Umag,,10,4,3000000.0,405.0,4034.0,0,0,False,False,https://www.realitica.com/hr/listing/3251414,+385913030770,"25 Mar, 2024",collegium
3185554 (ALG-2446),Prodajem Kuću,Umag,"Umag, Hrvatska",4,0,3000000.0,405.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3185554,+385953631892,"17 Jan, 2024",AlphaLuxeGroup
3044238 (XML-4200-416909),Prodajem Kuću,Motovun,"Motovun,Croatia",3,4,2900000.0,250.0,50000.0,0,0,False,False,https://www.realitica.com/hr/listing/3044238,+385 992835255,"19 Jun, 2023",penta
3058079 (ALG-1757),Prodajem Kuću,Motovun,"Motovun, Hrvatska",4,0,2750000.0,409.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3058079,+385953631892,"11 Jul, 2023",AlphaLuxeGroup
3264504 (XML-4369-495456),Prodajem Građevinsko Zemljište,Rovinj,"Rovinj,Croatia",0,0,2685000.0,0.0,5967.0,0,0,False,False,https://www.realitica.com/hr/listing/3264504,915399869,"9 Apr, 2024",almeraproperties
3044169 (ALG-1793),Prodajem Kuću,Pula,"Pula, Hrvatska",9,0,2650000.0,495.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3044169,+385953631892,"19 Jun, 2023",AlphaLuxeGroup
3221571 (ALG-2517),Prodajem Hotel,Pula,"Pula, Hrvatska",0,0,2600000.0,1600.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3221571,+385953631892,"21 Feb, 2024",AlphaLuxeGroup
3042951 (ALG-1763),Prodajem Kuću,Fažana,"Fažana, Hrvatska",5,0,2600000.0,280.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3042951,+385953631892,"16 Jun, 2023",AlphaLuxeGroup
3011213 (ALG-1247),Prodajem Kuću,Poreč,"Poreč, Hrvatska",5,0,2600000.0,263.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3011213,+385953631892,"2 May, 2023",AlphaLuxeGroup
3009823 (ALG-1360),Prodajem Kuću,Svetvinčenat,"Svetvinčenat, Hrvatska",28,0,2500000.0,1447.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009823,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
2552472 (ALG-252),Prodajem Hotel,Rovinj,"Rovinj, Hrvatska",0,0,2500000.0,1000.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2552472,+385953631892,"4 May, 2021",AlphaLuxeGroup
3009830 (ALG-1367),Prodajem Kuću,Žminj,"Žminj, Hrvatska",4,0,2500000.0,800.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009830,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
3183816 (ALG-2214),Prodajem Kuću,Poreč,"Poreč, Hrvatska",9,0,2500000.0,683.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3183816,+385953631892,"15 Jan, 2024",AlphaLuxeGroup
